cohort_key,screening_year,employment_category_code,employment_category_label,age_band_code,age_band_label,age_lower_inclusive,age_upper_inclusive,sex_code,sex_label,eligible_count,screened_count,screening_participation_rate,normal_a_count,normal_a_rate,normal_b_people_count,normal_b_rate,general_disease_suspected_people_count,general_disease_suspected_rate,cardiometabolic_suspected_people_count,cardiometabolic_suspected_rate,known_condition_people_count,known_condition_rate,status_count_sum_for_quality_check,status_counts_are_nonexclusive,source_null_metric_count,quality_flags
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,347,327,0.94236311,106,0.32415902,205,0.62691131,46,0.14067278,7,0.02140673,1,0.0030581,365,True,9,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:LE_19:FEMALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,FEMALE,여성,71,62,0.87323944,24,0.38709677,27,0.43548387,15,0.24193548,,,,,66,True,13,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_20_24:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_20_24,20~24세,20,24,MALE,남성,72979,39771,0.54496499,8017,0.20157904,29607,0.7444369,10304,0.25908325,1604,0.04033089,267,0.00671343,49799,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_20_24:FEMALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_20_24,20~24세,20,24,FEMALE,여성,59091,32612,0.55189454,12923,0.39626518,17877,0.54817245,4430,0.13583957,482,0.01477984,115,0.00352631,35827,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_25_29:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_25_29,25~29세,25,29,MALE,남성,92719,76047,0.82018788,12750,0.16765947,58835,0.77366629,22641,0.29772378,3707,0.04874617,688,0.00904704,98621,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_25_29:FEMALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_25_29,25~29세,25,29,FEMALE,여성,67223,53032,0.78889666,22949,0.43273872,27139,0.51174762,6437,0.12137954,835,0.01574521,240,0.00452557,57600,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_30_34:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_30_34,30~34세,30,34,MALE,남성,104815,93331,0.89043553,12592,0.13491766,74175,0.79475201,34586,0.37057355,6468,0.06930173,2236,0.02395774,130057,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_30_34:FEMALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_30_34,30~34세,30,34,FEMALE,여성,83730,67737,0.80899319,27831,0.41086851,35661,0.52646264,9692,0.14308281,1333,0.01967905,580,0.00856253,75097,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_35_39:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_35_39,35~39세,35,39,MALE,남성,79716,72853,0.91390687,7515,0.10315292,59406,0.81542284,31191,0.42813611,7134,0.09792322,4271,0.0586249,109517,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
2022:PUBLIC_EDUCATION:AGE_35_39:FEMALE,2022,PUBLIC_EDUCATION,공무원·교직원,AGE_35_39,35~39세,35,39,FEMALE,여성,59391,48013,0.80842215,18145,0.37791848,26500,0.55193385,7651,0.15935268,1388,0.02890884,771,0.01605815,54455,True,2,STATUS_COUNTS_NONEXCLUSIVE|SOURCE_HAS_NULL_NOT_ZERO
