cohort_key,screening_year,employment_category_code,employment_category_label,age_band_code,age_band_label,age_lower_inclusive,age_upper_inclusive,sex_code,sex_label,metric_code,metric_group,metric_label,count,value_status,denominator_metric_code,denominator_count,rate,rate_semantics,app_surface,individual_inference_allowed,quality_flags
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,ELIGIBLE_COUNT,ELIGIBILITY,검진 대상 인원,347,REPORTED,,,,NOT_APPLICABLE,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,SCREENED_COUNT,PARTICIPATION,검진 수검 인원,327,REPORTED,ELIGIBLE_COUNT,347,0.94236311,PARTICIPATION_RATE,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_A_COUNT,OVERALL_STATUS,정상A,106,REPORTED,SCREENED_COUNT,327,0.32415902,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_PEOPLE_COUNT,OVERALL_STATUS,정상B(경계),205,REPORTED,SCREENED_COUNT,327,0.62691131,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_OBESITY_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 비만 관리,77,REPORTED,SCREENED_COUNT,327,0.23547401,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_BP_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 혈압 관리,115,REPORTED,SCREENED_COUNT,327,0.35168196,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_DYSLIPIDEMIA_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 이상지질혈증 관리,,NOT_AVAILABLE,SCREENED_COUNT,327,,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,SOURCE_NULL_PRESERVED
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_LIVER_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 간기능 관리,12,REPORTED,SCREENED_COUNT,327,0.03669725,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_GLUCOSE_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 혈당 관리,54,REPORTED,SCREENED_COUNT,327,0.16513761,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_KIDNEY_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 신장기능 관리,6,REPORTED,SCREENED_COUNT,327,0.01834862,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
2022:PUBLIC_EDUCATION:LE_19:MALE,2022,PUBLIC_EDUCATION,공무원·교직원,LE_19,19세이하,,19,MALE,남성,NORMAL_B_ANEMIA_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 빈혈 관리,2,REPORTED,SCREENED_COUNT,327,0.00611621,NONEXCLUSIVE_RATE_AMONG_SCREENED,BENCHMARK,False,NONEXCLUSIVE_METRIC_DO_NOT_SUM
