검진사업년도,직역,연령(5세단위),성별,대상인원,수검인원,정상A,정상B_실인원,정상B_비만관리,정상B_혈압관리,정상B_이상지질혈증관리,정상B_간기능관리,정상B_당뇨관리,정상B_신장기능관리,정상B_빈혈관리,정상B_골다공증관리,정상B_기타질환관리,일반질환의심_실인원,일반질환의심_폐결핵의심,일반질환의심_기타흉부질환의심,일반질환의심_이상지질혈증의심,일반질환의심_간장질환의심,일반질환의심_신장질환의심,일반질환의심_빈혈증의심,일반질환의심_골다공증의심,일반질환의심_기타질환의심,고혈압당뇨병질환의심_실인원,고혈압당뇨병질환의심_고혈압질환의심,고혈압당뇨병질환의심_당뇨질환의심,유질환자_실인원,유질환자_고혈압,유질환자_당뇨,유질환자_이상지질혈증,유질환자_폐결핵
2022,공교,19세이하,남자,347,327,106,205,77,115,   ,12,54,6,2,   ,29,46,   ,1,   ,25,7,   ,   ,4,7,6,1,1,1,   ,   ,   
2022,공교,19세이하,여자,71,62,24,27,10,9,1,1,4,4,4,   ,4,15,   ,   ,   ,4,7,1,   ,1,   ,   ,   ,   ,   ,   ,   ,   
2022,공교,20~24세,남자,72979,39771,8017,29607,11132,17184,7032,2712,5444,1497,181,   ,4833,10304,1,154,2205,4992,851,41,   ,624,1604,1431,201,267,194,74,16,3
2022,공교,20~24세,여자,59091,32612,12923,17877,3470,6944,18,688,2322,1852,2571,   ,6024,4430,1,243,2,1049,1421,323,   ,456,482,400,96,115,46,55,24,3
2022,공교,25~29세,남자,92719,76047,12750,58835,25313,35483,11746,6657,12632,3734,375,   ,7311,22641,6,376,4700,11322,1784,95,   ,1227,3707,3347,433,688,492,131,116,21
2022,공교,25~29세,여자,67223,53032,22949,27139,4844,10941,74,1264,4153,3252,3519,   ,8099,6437,4,405,17,1702,1775,441,   ,667,835,723,128,240,84,101,72,9
2022,공교,30~34세,남자,104815,93331,12592,74175,31603,44630,11227,9292,20064,5773,553,   ,8859,34586,13,637,6590,17218,2625,145,   ,2247,6468,5838,820,2236,1553,373,576,30
2022,공교,30~34세,여자,83730,67737,27831,35661,6348,13935,69,1735,6307,4384,5601,   ,9360,9692,10,535,38,2621,2118,812,   ,1002,1333,1148,219,580,276,170,185,22
2022,공교,35~39세,남자,79716,72853,7515,59406,24907,34770,9709,8169,18985,4279,497,   ,6560,31191,8,581,7130,15453,2147,174,   ,1773,7134,6165,1226,4271,3031,806,1189,29
2022,공교,35~39세,여자,59391,48013,18145,26500,4863,10859,69,1455,5704,2770,5188,   ,5634,7651,7,448,17,2021,1375,1095,   ,768,1388,1173,252,771,403,222,233,19
2022,공교,40~44세,남자,104456,97663,7113,81412,31723,43544,20230,11725,28232,6091,882,   ,11051,48527,13,1227,18178,22459,3643,306,   ,3300,11702,9669,2567,12093,8684,2526,3939,55
2022,공교,40~44세,여자,101150,87885,18173,62436,9613,23211,24372,3334,12484,5433,11604,   ,10968,22627,16,1017,7990,4457,2848,3430,   ,1766,3596,3047,657,3061,1772,738,1125,46
2022,공교,45~49세,남자,91124,85210,6208,69577,28058,35140,10879,10318,27924,4628,994,   ,8389,40187,19,1453,10358,19445,3762,352,   ,2588,11229,8514,3366,18243,13340,4536,6139,84
2022,공교,45~49세,여자,66755,58323,10544,41775,7728,17285,12363,2629,10163,3103,8039,   ,6300,17555,7,910,5963,3751,2051,2813,   ,1295,3749,3112,793,4685,2950,908,1868,45
