검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2024,D3701005,(폐암)장애인안전편의관리비,(폐암)장애인안전편의관리비,D
2024,D3701006,(폐암)촬영및판독료,(폐암)촬영및판독료,D
2024,D3701007,(폐암)FullPACS,(폐암)FullPACS,D
2024,E9001001,상담및행정비용,상담및행정비용,E
2024,E9001002,발달평가및상담,발달평가및상담,E
2024,E9001003,건강교육(안전),건강교육(안전),E
2024,E9001004,건강교육(영양),건강교육(영양),E
2024,E9001005,건강교육(수면),건강교육(수면),E
2024,E9001006,건강교육(구강),건강교육(구강),E
2024,E9001007,건강교육(취학전교육),건강교육(취학전교육),E
2024,E9001008,건강교육(대소변가리기),건강교육(대소변가리기),E
2024,E9001009,건강교육(정서및사회성),건강교육(정서및사회성),E
2024,E9001010,건강교육(개인위생),건강교육(개인위생),E
2024,E9001011,건강교육(기본료),건강교육(기본료),E
2024,E9001012,상담및행정비용공휴일가산(4차~8차),상담및행정비용공휴일가산(4차~8차),E
2024,E9001013,건강교육(간접흡연),건강교육(간접흡연),E
2024,E9001014,건강교육(영유아돌연사),건강교육(영유아돌연사),E
2024,E9001015,건강교육(전자미디어노출),건강교육(전자미디어노출),E
2024,E9001016,상담및행정비용가산(1차~3차),상담및행정비용가산(1차~3차),E
2024,E9001017,상담및행정비용가산(4차~8차),상담및행정비용가산(4차~8차),E
2024,E9001018,상담및행정비용공휴일가산(1차~3차),상담및행정비용공휴일가산(1차~3차),E
2024,F9001001,구강검진,구강검진,F
2024,F9001002,구강검진공휴일가산,구강검진공휴일가산,F
2024,D3201058,(대장암)세척료기타,(대장암)세척료기타,D
2024,R3501001,(자궁경부암)상담료및행정비용,(자궁경부암)상담료및행정비용,R
2024,R3501002,(자궁경부암)자궁경부세포검사,(자궁경부암)자궁경부세포검사,R
2024,R3501003,(자궁경부암)상담료공휴일가산,(자궁경부암)상담료공휴일가산,R
